Extension,PageUrl,PdfUrl,AnchorText
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/bq/27-2_050.pdf,"Rosemary Taylor, ""English Baptist Periodicals, 1790-1865,"" Baptist Quarterly 27.2 (April 1977): 50-82."
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1879.pdf,Volume 1 (1879) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1880.pdf,Volume 2 (1880) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1881.pdf,Volume 3 (1881) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1882.pdf,Volume 4 (1882) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1883.pdf,Volume 5 (1883) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1885.pdf,Volume 7 (1885) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1886.pdf,Volume 8 (1886) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1888.pdf,Volume 10 (1888) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1889.pdf,Volume 11 (1889) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1890.pdf,Volume 12 (1890) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1891.pdf,Volume 13 (1891) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1892.pdf,Volume 14 (1892) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1894.pdf,Volume 16 (1894) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1895.pdf,Volume 17 (1895) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1896.pdf,Volume 18 (1896) Download Complete Volume pdf
1,https://biblicalstudies.org.uk/articles_the-sower_01.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1897.pdf,Volume 19 (1897) Download Complete Volume pdf
2,https://biblicalstudies.org.uk/articles_the-sower_02.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1900.pdf,Volume 22 (1900) Download Complete Volume pdf
2,https://biblicalstudies.org.uk/articles_the-sower_02.php,https://biblicalstudies.org.uk/pdf/the-sower/the-sower_1901.pdf,Volume 23 (1901) Download Complete Volume pdf
