page_index,page_url,pdf_url,anchor,context,http_status,final_url,content_type,bytes,pdf_magic,sha256
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_02.pdf,"Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.1 (1973): 2-6. pdf","Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.1 (1973): 2-6. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_02.pdf,application/pdf,332969,True,60192529542b651f33aa202a6d6e7377e54909c354370eb7431951ec58540fe6
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_06.pdf,"Editorial, 6-8. pdf","Editorial, 6-8. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_06.pdf,application/pdf,210375,True,5f2af05c30dda026b52636204636c50188e9f791080ec412bcbfa7a025c27163
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_09.pdf,"Kathleen Matchett, ""Recent Developments the Lithuanian Catholic Church,"" Religion in Communist Lands 1.1 (1973): 9-11. pdf","Kathleen Matchett, ""Recent Developments the Lithuanian Catholic Church,"" Religion in Communist Lands 1.1 (1973): 9-11. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_09.pdf,application/pdf,230971,True,d0313c67f9b6bc91b8a7c20850171a7aa6302286ea1974e561755ad6758151af
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_12.pdf,"Katharine Murray, ""The Council of Baptist Prisoners' Relatives - 1964-1972,"" Religion in Communist Lands 1.1 (1973): 12-15. pdf","Katharine Murray, ""The Council of Baptist Prisoners' Relatives - 1964-1972,"" Religion in Communist Lands 1.1 (1973): 12-15. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_12.pdf,application/pdf,285871,True,bee9e4296c0424abe30efbd1e01a902880cfc13080b827288eb65086d539c630
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_16.pdf,"Michael Rothenberg, ""Joshua Rothenberg: The Jewish Religion in the Soviet Union,"" Religion in Communist Lands 1.1 (1973): 16-18. pdf","Michael Rothenberg, ""Joshua Rothenberg: The Jewish Religion in the Soviet Union,"" Religion in Communist Lands 1.1 (1973): 16-18. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_16.pdf,application/pdf,217598,True,164e63577382e0194630106c2671baf5c6b338c81b84105c392089f73fe19899
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_19.pdf,"""1. Athiest Education ( Pravda ),"" Religion in Communist Lands 1.1 (1973): 19-21. pdf","""1. Athiest Education ( Pravda ),"" Religion in Communist Lands 1.1 (1973): 19-21. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_19.pdf,application/pdf,231787,True,afa8ab82355b4615c5a2c27e615eadf56babdf178d54e70c2c93ca885b50c616
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_21.pdf,"""2. Notes by a Russian Christian ( Vecha ),"" Religion in Communist Lands 1.1 (1973): 21-24. pdf","""2. Notes by a Russian Christian ( Vecha ),"" Religion in Communist Lands 1.1 (1973): 21-24. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_21.pdf,application/pdf,221615,True,99e2a418fad1389d02e2cceaad591e0bde81e539b1f8af7776c3f04233b493de
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_24.pdf,"""3. The Teaching of St. Tikhon of Zadonsk ( Journal of the Moscow Patriarchate ),"" Religion in Communist Lands 1.1 (1973): 24-26. pdf","""3. The Teaching of St. Tikhon of Zadonsk ( Journal of the Moscow Patriarchate ),"" Religion in Communist Lands 1.1 (1973): 24-26. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_24.pdf,application/pdf,171938,True,57b16e3c9c7cc78e2c78a920af44fc862f607baa3e6e30688bcb86c6c98422c6
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_26.pdf,"""4. A Christmas Message from the Russian Baptists,"" Religion in Communist Lands 1.1 (1973): 26-27. pdf","""4. A Christmas Message from the Russian Baptists,"" Religion in Communist Lands 1.1 (1973): 26-27. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_26.pdf,application/pdf,59779,True,cc6953bfea009684c6b82f8af1a02b6e603566d542bbd517400ae27227ce785f
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_27.pdf,"""5. Statement by the Baptist believers of Piryatin,"" Religion in Communist Lands 1.1 (1973): 27-30. pdf","""5. Statement by the Baptist believers of Piryatin,"" Religion in Communist Lands 1.1 (1973): 27-30. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_27.pdf,application/pdf,224312,True,961a0239f5698a44644cd18f748a6edcd4f0d74acf0902d69e8a40dec3c5eb08
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_30.pdf,"""6. Secret Instructions on the Supervision of Parish Life,"" Religion in Communist Lands 1.1 (1973): 30-33. pdf","""6. Secret Instructions on the Supervision of Parish Life,"" Religion in Communist Lands 1.1 (1973): 30-33. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_30.pdf,application/pdf,219941,True,6a32f03a34ff8a8b1270d4a0dcc35d5e720f9328918082020d6cc809a7b7b8a1
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-1_34.pdf,"Bibliography, 34-40. pdf","Bibliography, 34-40. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-1_34.pdf,application/pdf,378148,True,67b98f7c7d2afeb40d0b416e4d136a13f794e529e3ae6423713e89ced590477d
1,https://biblicalstudies.org.uk/articles_rcl_01.php,https://biblicalstudies.org.uk/pdf/rcl/01-2_02.pdf,"Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.2 (1973): 2-3. pdf","Michael Bourdeaux, ""News From The Centre,"" Religion in Communist Lands 1.2 (1973): 2-3. pdf [Reproduced by permission of the current copyright holder]",200,https://biblicalstudies.org.uk/pdf/rcl/01-2_02.pdf,application/pdf,89384,True,9aec88e0df8de26e92c9dd5a3f6237a17ec67f3abecbdb2648e52e75c1489de8
