volume	issue	title	url
9	3	SBJT_9.3 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_9.3-Complete.pdf
9	4	SBJT_9.4 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_9.4-Complete.pdf
10	1	SBJT 10.1 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT-10.1-Complete.pdf
10	2	SBJT_10.2 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_10.2-Complete.pdf
10	3	SBJT_10.3 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_10.3-Complete.pdf
10	4	SBJT_10.4	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_10.4.pdf
11	1	SBJT_11.1	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_11.1.pdf
11	2	SBJT 11.2 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT-11.2-Complete.pdf
11	3	SBJT_11.3 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_11.3-Complete.pdf
11	4	SBJT 11.4 Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT-11.4-Complete.pdf
12	1	SBJT_12.1_Complete	https://cf.sbts.edu/equip/uploads/2021/10/SBJT_12.1_Complete.pdf
12	2	SBJT_Summer_08	https://cf.sbts.edu/equip/uploads/2015/10/SBJT_Summer_08.pdf
12	3	SBJT Fall 08	https://cf.sbts.edu/equip/uploads/2015/10/SBJT-Fall-08.pdf
12	4	SBJT V12N4(updated)	https://cf.sbts.edu/equip/uploads/2015/10/SBJT-V12N4updated.pdf
13	1	SBJT 13.1 Spring 09	https://cf.sbts.edu/equip/uploads/2015/10/SBJT-13.1-Spring-09.pdf
13	2	SBJT 13.2 Summer 09	https://cf.sbts.edu/equip/uploads/2015/10/SBJT-13.2-Summer-09.pdf
13	4	SBJT_13.4_WIN09	https://cf.sbts.edu/equip/uploads/2015/10/SBJT_13.4_WIN09.pdf
14	1	9038 SBJT V14 N.1	https://cf.sbts.edu/equip/uploads/2015/10/9038-SBJT-V14-N.1.pdf
14	2	SBJT V14 N.2 Complete	https://cf.sbts.edu/equip/uploads/2024/01/SBJT-V14-N.2-Complete.pdf
14	4	SBJT V14 N4_inside pages	https://cf.sbts.edu/equip/uploads/2015/10/SBJT-V14-N4_inside-pages.pdf
15	3	SBJT V15 N3_complete	https://cf.sbts.edu/equip/uploads/2024/01/SBJT-V15-N3_complete.pdf
15	4	SBJT V15 N4_complete	https://cf.sbts.edu/equip/uploads/2024/01/SBJT-V15-N4_complete.pdf
16	1	SBJT V16 N1_Complete	https://cf.sbts.edu/equip/uploads/2013/08/SBJT-V16-N1_Complete.pdf
16	4	SBJT 16.4-Complete	https://cf.sbts.edu/equip/uploads/2014/02/SBJT-16.4-Complete.pdf
17	2	SBJT 17.2-complete	https://cf.sbts.edu/equip/uploads/2014/02/SBJT-17.2-complete.pdf
17	3	SBJT 17.3 Fall 2013-complete	https://cf.sbts.edu/equip/uploads/2014/03/SBJT-17.3-Fall-2013-complete.pdf
17	4	SBJT 17.4 Winter 2013-complete	https://cf.sbts.edu/equip/uploads/2014/03/SBJT-17.4-Winter-2013-complete.pdf
18	1	SBJT 18.1 Springv4 (final)	https://cf.sbts.edu/equip/uploads/2015/06/SBJT-18.1-Springv4-final.pdf
19	2	ST-373-2015 SBJT 19.2-final	https://cf.sbts.edu/equip/uploads/2015/10/ST-373-2015-SBJT-19.2-final.pdf
19	3	ST-516-2015 SBJT 19.3-Finalv3	https://cf.sbts.edu/equip/uploads/2015/11/ST-516-2015-SBJT-19.3-Finalv3.pdf
19	4	SBJT 19.4 Web	https://cf.sbts.edu/equip/uploads/2016/05/SBJT-19.4-Web.pdf
20	1	SBJT 20.1 FINAL – updated complete	https://cf.sbts.edu/equip/uploads/2016/08/SBJT-20.1-FINAL-updated-complete.pdf
20	2	sbjt-20-2-complete	https://cf.sbts.edu/equip/uploads/2016/10/SBJT-20.2-Complete.pdf
20	3	SBJT 20.3 Complete	https://cf.sbts.edu/equip/uploads/2017/03/SBJT-20.3-Complete.pdf
21	4	SBJT 21.4 – Complete Issue	https://cf.sbts.edu/equip/uploads/2018/03/SBJT-21.4-Complete-Issue.pdf
